passenger,name,package,luggage,station,bureau,address
True,京山,False,False,True,武汉铁路局,湖北省京山县新市大道1号
True,荆门,True,True,True,武汉铁路局,湖北省荆门市金龙泉大道4号
True,荆州,False,False,True,武汉铁路局,湖北省荆州市荆州区荆北村楚源大道
True,利川,False,False,True,武汉铁路局,湖北省利川市南环大道
True,陆丰,False,False,True,广铁集团,广东省于陆丰市城东镇
True,路口铺,True,True,True,广铁集团,湖南省岳阳市
True,麻阳,False,False,True,广铁集团,湖南省怀化市麻阳县高村镇
True,茂名东,False,False,True,广铁集团,广东省茂名市站前五路
True,梅州,True,True,True,广铁集团,广东省梅州市彬芳南路
True,美兰,False,False,True,广铁集团,海南省海口市美兰区美兰机场海南航空交通管理站斜对面
True,猛洞河,False,False,True,广铁集团,湖南省湘西自治州古丈县罗依溪镇
True,麦园,False,False,True,南昌铁路局,福建省漳平市新桥镇碧灵南路25号
