start,code,end,train_no
北京,D27,哈尔滨西,2400000D270S
北京南,G27,福州,2400000G2701
北京,K27,丹东,2400000K270V
上海南,Z27,武昌,5500000Z2710
哈尔滨西,D28,北京,0h00000D280G
丹东,K28,北京,1200000K280E
武昌,Z28,上海南,3900000Z2500
福州,G28,北京南,5800000G2802
北京,D29,齐齐哈尔南,2400000D290V
北京南,G29,合肥南,2400000G290B
北京,Z29,扬州,2400000Z290B
洛阳,K29,福州,4000000K320E
齐齐哈尔南,D30,北京,0400000D3004
福州,K30,洛阳,5800000K300D
扬州,Z30,北京,5f00000Z3060
合肥南,G30,北京南,5i00000G3011
大连,D31,北京,1300000D310C
北京,T31,杭州,2400000T310Q
武昌,Z31,宁波,3900000Z3102
福州,K31,洛阳,5800000K300D
北京,D32,大连,2400000D330L
洛阳,K32,福州,4000000K320E
杭州,T32,北京,5600000T3212
宁波,Z32,武昌,5e00000Z3210
北京,D33,大连,2400000D330L
北京南,G33,南昌西,2400000G330O
苏州,K33,深圳,5500000K3603
宁波,Z33,武昌,5e00000Z3210
大连,D34,北京,1300000D310C
武昌,Z34,宁波,3900000Z3102
杭州东,G34,北京南,5600000G3471
深圳,K34,苏州,6500000K3401
大连北,D35,北京,1g00000D3506
北京南,G35,杭州东,2400000G350F
北京西,Z35,广州,2400000Z3501
深圳,K35,苏州,6500000K3401
北京,D36,大连北,2400000D370C
苏州,K36,深圳,5500000K3603
杭州东,G36,北京南,5600000G3640
广州,Z36,北京西,6300000Z3600
北京,D37,大连北,2400000D370C
北京南,G37,杭州东,2400000G370F
北京西,Z37,武昌,2400000Z3707
大连北,D38,北京,1g00000D3506
武昌,Z38,北京西,3900000Z3802
南昌西,G38,北京南,5u00000G380B
大连北,D39,北京,1g00000D3906
北京南,G39,杭州东,2400000G3909
北京,K39,海拉尔,2400000K392L
北京,T39,齐齐哈尔,2400000T390D
乌鲁木齐,Z39,上海,9300000Z4204
齐齐哈尔,T40,北京,0400000T4009
海拉尔,K40,北京,0500000K4001
北京,D40,大连北,2400000D410H
上海,Z40,乌鲁木齐,5500000Z4061
